,time,img_sim,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z
452,162.616,0.6481481481481481,-0.07304209029359306,0.018649280882436326,-0.9600460101794813,-0.26949410039663474,-0.0013963072644212285,-0.019768986368618697,-0.0069177050729725634,-0.00980665,0.00980665000000121,9.874319792031875
453,162.715,0.6226415094339622,-0.07393609218502964,0.01885957067463767,-0.9598625046719532,-0.2698904787315798,-0.001242094680637219,-0.019990235552251132,-0.004803469311816706,-0.00980665,0.009806650000001211,9.882055715139442
454,162.825,0.66,-0.07495676960147782,0.019202918840066776,-0.9596967061857786,-0.2701732683123673,-0.0020298528414501205,-0.021146739013047755,-0.0036361615184650137,-0.00980665,0.007032657370519273,9.890651185258964
455,162.918,0.7368421052631579,-0.07583240370490646,0.019544145968078186,-0.9595742233025226,-0.27033914958274224,-0.003141279563315333,-0.02254742994696752,-0.0031981091998309107,-0.00980665,0.0033991177290843867,9.897918264541833
456,163.019,0.6842105263157895,-0.0765399273225511,0.019854744819466356,-0.9594615905168397,-0.27051925076710565,-0.0041982669330712895,-0.019191943890141235,-0.002734554355077763,-0.00980665,1.2130457324136413e-15,9.905270101209677
457,163.136,0.8285714285714286,-0.07560712006048895,0.019782759539840933,-0.9594778700311606,-0.2707275269083591,-0.004342557999470668,0.019800895434475545,-0.0022852412103900447,-0.00980665,1.2136123182428123e-15,9.909896625604839
458,163.229,0.7428571428571429,-0.07486565787782397,0.019725540471420708,-0.9594908101579285,-0.2708930797385863,-0.0044572508984035385,0.0507952036155897,-0.0019280948646125296,-0.00980665,1.2140626813377947e-15,9.913574119354841
459,163.321,0.7428571428571429,-0.07132054185904974,0.01885751766049579,-0.959708463407976,-0.2710815502152101,-0.0038589988760649044,0.07703195050359096,-0.0022607372906059873,-0.0071392411999995275,1.2141789040719834e-15,9.91452315
460,163.422,0.8,-0.06633920561085827,0.017590180652088797,-0.9600267825272691,-0.2712980276229358,-0.0029264566823839116,0.10412106506526769,-0.0028917039334774844,-0.0031773545999995633,1.2141789040719834e-15,9.91452315
461,163.524,0.5581395348837209,-0.060981041513680084,0.01621675532827183,-0.9603526508450786,-0.2715129684578603,-0.0022153648134113444,0.12656379096299103,-0.0033251680266779622,0.0,1.213977945240756e-15,9.912882196613545
462,163.612,0.7222222222222222,-0.055268454187604704,0.014720561984491157,-0.9606484259164453,-0.2716861618470825,-0.0023695261642500223,0.12957168308149794,-0.0030211126895628767,0.0,1.213135832043233e-15,9.906005820517928
463,163.732,0.7777777777777778,-0.04747856237931926,0.01268029833388093,-0.961051755559218,-0.2719223346505673,-0.0025797461881209693,0.13367335415218962,-0.002606491775314988,0.0,1.2119874958647924e-15,9.896628944023902
464,163.817,0.7567567567567568,-0.042058356642264864,0.011230263778271469,-0.9612673905941794,-0.27206510668701045,-0.002651503696723525,0.13224804832274595,-0.0024530018808836263,0.0,1.210561529815098e-15,9.884985047590359
465,163.914,0.8648648648648649,-0.03591185324802977,0.00957358658291593,-0.9614855501641892,-0.27221826458933335,-0.002702647594764948,0.12889573007941726,-0.0023337133438233078,0.0,1.2086901415328698e-15,9.869704002610442
466,164.041,0.7435897435897436,-0.028102377372702665,0.007459390776437039,-0.9617292761361288,-0.27240255921535167,-0.002388859236147151,0.1234346279501908,-0.0020933060413226264,0.0,1.2066080002032694e-15,9.8527020284
467,164.124,0.7083333333333334,-0.02336285764968859,0.0061616382002388954,-0.961824418039662,-0.2724981584040695,-0.001600983476499007,0.11822470977902354,-0.0018072683936916115,0.0,1.2058105572830876e-15,9.8461904128
468,164.223,0.696969696969697,-0.017709695570429698,0.0046137164527251355,-0.9619379005511052,-0.27261218635205825,-0.0006612280523401889,0.11201047003269024,-0.0014660909585653933,0.0,1.204859390426485e-15,9.838423545999998
469,164.332,0.8125,-0.01228668451314365,0.00306573402995195,-0.9619944555151575,-0.2727159383641325,0.0010135775741656739,0.10240001684427186,-0.001779513569083118,0.0,1.20381214610962e-15,9.8298721472
470,164.415,0.90625,-0.00838890823384732,0.001932190184328479,-0.9620177441849087,-0.2727886401532543,0.002473990159109343,0.09428140836954058,-0.0022174275703728636,0.0,1.2030147031894381e-15,9.823360531599999
471,164.514,0.8108108108108109,-0.0038721231415900985,0.0006183811940949248,-0.9620415608484887,-0.2728684291735385,0.00392346355877795,0.08462609024345645,-0.002627845792099726,0.0,1.202169221539125e-15,9.81645665
472,164.623,0.8378378378378378,-6.502055820088812e-05,-0.0004912325708785467,-0.9620328910074752,-0.27289525908071743,0.0029432974383234566,0.07424496144056277,-0.002093982212245451,0.0,1.202169221539125e-15,9.81645665
473,164.716,0.8421052631578947,0.0031832412790039517,-0.0014379672510856202,-0.9620254938036747,-0.2729181506528976,0.002107008913531699,0.06538766805827406,-0.001638483928516406,0.0,1.202169221539125e-15,9.81645665
474,164.822,0.8421052631578947,0.005996358806455778,-0.0023111117733361007,-0.9619940323983803,-0.27298245951596767,0.0019041873371800277,0.05423418088144344,-0.0015506770079621794,0.0,1.202169221539125e-15,9.81645665
475,164.917,0.8611111111111112,0.008090211540952815,-0.0029946803339028216,-0.961954767890913,-0.2730584615307738,0.002083028779843794,0.04372963468095082,-0.0016792888708590972,0.0,1.202169221539125e-15,9.81645665
476,165.027,0.7777777777777778,0.010228200626724396,-0.0037180150596533507,-0.9619117057683352,-0.27314254475604133,0.0021318047222430273,0.03208888068588285,-0.0017710048622185722,0.0,1.2020596093572775e-15,9.81556159861111
477,165.111,0.7727272727272727,0.011033361780388001,-0.004073480538311636,-0.9618857603598221,-0.2731954332747745,0.0017117858468924723,0.02470856341016003,-0.0016758094924236066,0.0,1.2016592866061822e-15,9.812292715277778
478,165.212,0.825,0.012001472215150147,-0.004500885459079316,-0.9618545640948242,-0.2732590254222989,0.0012067631515305195,0.015834610495303245,-0.0015613483930272843,0.0,1.2011779461554604e-15,9.808362272222222
479,165.316,0.9473684210526315,0.012449289872091878,-0.004779188528002317,-0.9618286101760737,-0.27332739425126384,0.0010965831577777903,0.007564917765557599,-0.0018581256922334574,0.0,1.2009682532858392e-15,9.80665
480,165.414,0.9210526315789473,0.012491865280295467,-0.004929629742168815,-0.9618084165138424,-0.2733938142725459,0.0012759719835594059,0.00037202442064976533,-0.0024243068750946966,0.0,1.2009682532858392e-15,9.80665
481,165.532,0.9714285714285714,0.012343280940322303,-0.005054169508170725,-0.9617882620353889,-0.2734686960805574,0.0018296356052161812,-0.007782415419817535,-0.0027443244126624496,0.0,1.2009682532858392e-15,9.80665
482,165.615,0.8571428571428571,0.011741361459009992,-0.005000887461578842,-0.9617844403230881,-0.2735086903285385,0.0030594969964587515,-0.012257800066844106,-0.0020691529598551995,0.0,1.2009682532858392e-15,9.80665
483,165.71,0.7948717948717948,0.011052417474375414,-0.0049399019865640345,-0.9617800660740691,-0.27355446687743246,0.004467169673182185,-0.017380228277296246,-0.001296366357244486,0.0,1.2009682532858392e-15,9.80665
484,165.822,0.8529411764705882,0.009921521015273297,-0.004794744475853761,-0.9617776542351809,-0.27360647958800854,0.005393540505319843,-0.021635085225105353,-0.0008889912338927349,0.0,1.2006511976669718e-15,9.8040610444
485,165.908,0.7575757575757576,0.008882611658391494,-0.004644078076596315,-0.961777271429025,-0.2736453714250073,0.005712471380829762,-0.02394734284281695,-0.0008457518466748334,0.0,1.2002380645878414e-15,9.8006875568
486,166.022,0.7575757575757576,0.007475512716133281,-0.004425607253911811,-0.9617760695181782,-0.2736979375956536,0.005915572363883346,-0.02676984024047841,-0.0008677401123567988,0.0,1.1998441470007637e-15,9.7974709756
487,166.119,0.7941176470588235,0.006122208188664058,-0.004141996199047973,-0.9617714275232889,-0.27374793846267537,0.004943560371175413,-0.027907160282135003,-0.001299760262947524,0.0,1.2003101226830386e-15,9.8012759558
488,166.215,0.7894736842105263,0.004782855254261593,-0.003861308969492024,-0.961766833384017,-0.2737974238568412,0.003981569120660392,-0.029032755374908483,-0.0017273265975527572,0.0,1.2007712944923003e-15,9.8050417094
