,time,img_sim,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,ground_truth
462,259.569,1.0,-0.6214952694715205,0.6285943298604311,0.3274321968781415,0.33376781353910556,0.000952490324852982,-0.000905853534350174,-0.00035040857223793545,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
463,259.66,1.0,-0.6214756767030732,0.6286139514403074,0.3274225357309991,0.3337768209468625,0.000933912437638289,-0.0009108186950759216,-0.00033999054271372127,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
464,259.756,1.0,-0.621455393248288,0.6286333376412068,0.3274123886901793,0.3337880271135901,0.0009124090198412698,-0.0008940674837619573,-0.0003179203264326609,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
465,259.859,1.0,-0.6214336307915913,0.6286541374192551,0.3274015017609664,0.3338000503966417,0.0008893376444965367,-0.0008760948299563381,-0.0002942408235477581,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
466,259.959,1.0,-0.621412800404971,0.6286739752112357,0.32739062266926955,0.3338121379104352,0.0008803909377056552,-0.0008681159027960585,-0.0002982199316410478,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
467,260.067,1.0,-0.6213905670984895,0.628695085304206,0.32737859997905583,0.3338255586249644,0.0008826157775703802,-0.0008678669198771497,-0.00032634808388295414,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
468,260.16,1.0,-0.6213713709984586,0.628713327673392,0.327368268325053,0.3338370674615258,0.0008849397583398972,-0.0008682412665802989,-0.00034786301571875736,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
469,260.266,1.0,-0.6213487808777344,0.6287350195185284,0.3273567895802958,0.3338495144553176,0.0008933039007242769,-0.0008769122313242406,-0.0003344856398180127,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
470,260.365,1.0,-0.6213276825574353,0.6287552788833256,0.32734606886585277,0.3338611394778212,0.0009011156940832726,-0.0008850105851888648,-0.00032199167553335553,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
471,260.46,1.0,-0.6213074703063417,0.6287750031299169,0.32733568364503385,0.3338717893894985,0.0009184298557229238,-0.0008962975249160023,-0.0003139500799588881,-8.082915516199998,-6.785470631064991e-16,-5.54075725,0.0
472,260.54,1.0,-0.6212904683331089,0.6287917721471097,0.3273268833655763,0.33388047399557214,0.0009385220599360765,-0.0009077760942745954,-0.0003093943851999937,-8.0860536442,-6.785470631064991e-16,-5.54075725,0.0
473,260.66,1.0,-0.6212649527234002,0.6288168871051621,0.32731373339476405,0.3338935470323397,0.0009658350490972361,-0.0009224050675066123,-0.00030424359460468997,-8.090212757768924,-6.785470631064991e-16,-5.54075725,0.0
474,260.753,1.0,-0.6212450198671003,0.628835868687718,0.32730417331257877,0.33390425572577453,0.0009516558799599576,-0.0009013537736795157,-0.00032130415566205753,-8.086579218127492,-6.785470631064991e-16,-5.54075725,0.0
475,260.86,1.0,-0.6212220863657661,0.6288577077128091,0.32729317407823655,0.33391657648058665,0.0009353422122428626,-0.000877133467878431,-0.000340932973222698,-8.082398694023905,-6.785470631064991e-16,-5.54075725,0.0
476,260.959,1.0,-0.6212007404332692,0.6288778626513588,0.32728265206567797,0.33392864262906335,0.0009353831557680417,-0.0008781270255394522,-0.00034070320952923026,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
477,261.061,1.0,-0.6211786429050988,0.6288985860931127,0.32727152671625803,0.33394162383499004,0.0009479001648331313,-0.0008984404360318125,-0.00032530783583975347,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
478,261.16,1.0,-0.6211572146927303,0.6289187452418035,0.32726080089411624,0.3339540305674624,0.0009585890351914826,-0.0009174277370367505,-0.0003105731720420254,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
479,261.275,1.0,-0.6211326193383322,0.6289428528053699,0.32724944557638463,0.3339655008940694,0.0009487157766406847,-0.0009283593305641929,-0.00029663122146420873,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
480,261.358,1.0,-0.6211148679086361,0.6289602521773352,0.32724124999923915,0.33397377947762047,0.0009415898595996688,-0.0009362490893709616,-0.00028656877017760313,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
481,261.46,1.0,-0.6210929980226348,0.6289822113902247,0.32723010448703477,0.3339840159758353,0.0009448261730917679,-0.0009301509298641915,-0.000281559739155113,-8.082966526284583,-6.785470631064991e-16,-5.54075725,0.0
482,261.562,1.0,-0.621071088142251,0.6290045910207909,0.327218176346344,0.33399429825609506,0.0009568034861744817,-0.0009125418834049576,-0.00028191249690611244,-8.086920195454546,-6.785470631064991e-16,-5.54075725,0.0
483,261.665,1.0,-0.6210490053171196,0.6290270188495619,0.32720624965194217,0.33400480902438234,0.0009678854683879769,-0.0008968581093940888,-0.0002867516614496806,-8.090054757399999,-6.785470631064991e-16,-5.54075725,0.0
484,261.757,1.0,-0.6210295935493259,0.6290457724610371,0.32719648109805655,0.33401515111840197,0.0009702182163018736,-0.000898521597729996,-0.0003245635852217709,-8.0864459102,-6.785470631064991e-16,-5.54075725,0.0
485,261.867,1.0,-0.6210063838269638,0.6290681952573662,0.32718480130536715,0.3340275166655993,0.000973007371416316,-0.000900510551175103,-0.0003697734940797181,-8.082130984199999,-6.785470631064991e-16,-5.54075725,0.0
486,261.965,1.0,-0.6209860915705638,0.6290870789001778,0.32717485523432954,0.33403942006839693,0.0009793499840889106,-0.0009121337407268545,-0.00037444134429097533,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
487,262.066,1.0,-0.6209654191061619,0.6291058573326301,0.3271648919759171,0.334052242237578,0.0009882983230054359,-0.0009302709861658473,-0.00035699132736772676,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
488,262.158,1.0,-0.6209465601797752,0.6291230356057843,0.3271558011917192,0.33406385184626414,0.0009952250821515876,-0.0009454430541954905,-0.00034055653493850825,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
489,262.267,1.0,-0.6209234719568866,0.6291452952222977,0.3271446307250321,0.3340757823790386,0.0009715226676780731,-0.0009282570113427938,-0.00030701676383614545,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
490,262.365,1.0,-0.6209027137381427,0.6291653084554932,0.3271345875531482,0.3340865089130927,0.0009502122399862828,-0.0009128053397871534,-0.0002768617402762134,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
491,262.46,1.0,-0.6208829342184229,0.6291847180740491,0.3271244026091066,0.334096687485754,0.0009519394007511407,-0.0009130130293779056,-0.00026998579967766836,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
492,262.559,1.0,-0.6208625709863252,0.6292049514971286,0.32711346280581793,0.3341071352561579,0.0009699854056816602,-0.000924250986427072,-0.00027904523303732534,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
493,262.662,1.0,-0.6208413649602198,0.6292260047851819,0.32710204954156474,0.33411806809397926,0.000986168790608647,-0.0009350426965393126,-0.0002896940261125518,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
494,262.755,1.0,-0.6208220029314702,0.6292450392930088,0.3270914071653986,0.33412861428880536,0.0009729919868987055,-0.0009351335102692247,-0.0003124255212023851,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
495,262.867,1.0,-0.6207986852194275,0.6292679625712517,0.3270785905403382,0.3341413150825744,0.0009571231480222164,-0.0009352428773418069,-0.00033980108518153965,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
496,262.951,1.0,-0.6207812016528637,0.6292845545735241,0.32706938664588836,0.3341515589362816,0.0009592640220653306,-0.0009411151169333639,-0.0003493275176733734,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
497,263.064,1.0,-0.6207576870889615,0.6293062388733768,0.3270574379037188,0.33416610000652663,0.0009770152601413467,-0.000955146613996479,-0.0003504880983382465,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
498,263.159,1.0,-0.6207378978598275,0.6293245176164989,0.3270474064855837,0.3341782570181321,0.0009927680322610987,-0.0009639327958378352,-0.0003508616686869134,-8.080874951593625,-6.785470631064991e-16,-5.54075725,0.0
499,263.261,1.0,-0.6207162572255327,0.6293450820776992,0.327036906180614,0.3341899998339112,0.001025706237419502,-0.0009151901212609767,-0.00033962563565185984,-8.084860124103587,-6.785470631064991e-16,-5.54075725,0.0
500,263.375,1.0,-0.6206920706342621,0.629368065887276,0.32702517054564784,0.3342031241574289,0.0010625195255376983,-0.0008607130143809872,-0.0003270677163773949,-8.089314140438248,-6.785470631064991e-16,-5.54075725,0.0
501,263.46,1.0,-0.6206740791603513,0.6293858240351072,0.32701547969559464,0.334212577192992,0.0010629204474389541,-0.0008577595872338875,-0.00033005387056618996,-8.088328787,-6.785470631064991e-16,-5.54075725,0.0
502,263.57,1.0,-0.6206508259974092,0.629409243588887,0.3270022746454703,0.3342245757254246,0.0010443468764424289,-0.000880524894455452,-0.0003426356101408623,-8.084013860999999,-6.785470631064991e-16,-5.54075725,0.0
503,263.664,1.0,-0.6206309756848863,0.6294290650292577,0.3269911114774835,0.3342350324170334,0.0010277654170058631,-0.0008987799955066304,-0.00035231707291677575,-8.0806796,-6.785470631064991e-16,-5.54075725,0.0
